Template ID,Canvas Dimensions,Photo Hole,Photo Hole 2,Header Top,Header Bottom,Service 1,Service 2,Service 3,Service 4,Phone
circle-red,1080x1080,"625.5, 181.4, 435.7, 435.7","439.8, 434.4, 334.6, 334.6","108, 202.5, 530.6, 120, 85px, #FF5A1F, 400, normal, Anton","108, 290, 530.6, 120, 85px, #FF5A1F, 400, normal, Anton","58, 840, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","385.3, 840, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","58, 885, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","385.3, 885, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","731.2, 935, 320, 55, 39px, #FF5A1F, 700, normal, Poppins"
circle-blue,1080x1080,"625.5, 181.4, 435.7, 435.7","439.8, 434.4, 334.6, 334.6","108, 202.5, 530.6, 120, 85px, #00D2FF, 400, normal, Anton","108, 290, 530.6, 120, 85px, #00D2FF, 400, normal, Anton","58, 840, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","385.3, 840, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","58, 885, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","385.3, 885, 300, 40, 24px, #FFFFFF, 700, normal, Poppins","731.2, 935, 320, 55, 39px, #00D2FF, 700, normal, Poppins"
circle-gold,1080x1080,"625.5, 181.4, 435.7, 435.7","439.8, 434.4, 334.6, 334.6","108, 202.5, 530.6, 120, 85px, #D4AF37, 400, normal, Anton","108, 290, 530.6, 120, 85px, #D4AF37, 400, normal, Anton","58, 840, 300, 40, 24px, #D4AF37, 700, normal, Poppins","385.3, 840, 300, 40, 24px, #D4AF37, 700, normal, Poppins","58, 885, 300, 40, 24px, #D4AF37, 700, normal, Poppins","385.3, 885, 300, 40, 24px, #D4AF37, 700, normal, Poppins","731.2, 935, 320, 55, 39px, #D4AF37, 700, normal, Poppins"
circle-green,1080x1080,"625.5, 181.4, 435.7, 435.7","439.8, 434.4, 334.6, 334.6","108, 202.5, 530.6, 120, 85px, #5ca904, 400, normal, Anton","108, 290, 530.6, 120, 85px, #5ca904, 400, normal, Anton","58, 840, 300, 40, 24px, #5ca904, 700, normal, Poppins","385.3, 840, 300, 40, 24px, #5ca904, 700, normal, Poppins","58, 885, 300, 40, 24px, #5ca904, 700, normal, Poppins","385.3, 885, 300, 40, 24px, #5ca904, 700, normal, Poppins","731.2, 935, 320, 55, 39px, #5ca904, 700, normal, Poppins"
circle-purple,1080x1080,"625.5, 181.4, 435.7, 435.7","439.8, 434.4, 334.6, 334.6","108, 202.5, 530.6, 120, 85px, #474973, 400, normal, Anton","108, 290, 530.6, 120, 85px, #474973, 400, normal, Anton","58, 840, 300, 40, 24px, #474973, 700, normal, Poppins","385.3, 840, 300, 40, 24px, #474973, 700, normal, Poppins","58, 885, 300, 40, 24px, #474973, 700, normal, Poppins","385.3, 885, 300, 40, 24px, #474973, 700, normal, Poppins","731.2, 935, 320, 55, 39px, #474973, 700, normal, Poppins"
square-red,1080x1080,"531.5, 68.3, 528.4, 820.6",,"25.9, 226.3, 427.3, 120, 80px, #1C1C1C, 400, normal, Anton","25.9, 299.3, 443, 120, 80px, #1C1C1C, 400, normal, Anton","108, 550.8, 367.9, 35, 22px, #1C1C1C, 700, normal, Poppins","108, 595.4, 367.9, 35, 22px, #1C1C1C, 700, normal, Poppins","108, 640.1, 367.9, 35, 22px, #1C1C1C, 700, normal, Poppins","108, 684.8, 367.9, 35, 22px, #1C1C1C, 700, normal, Poppins","210, 920, 350, 70, 39px, #FFFFFF, 800, normal, Poppins"
square-blue,1080x1080,"531.5, 68.3, 528.4, 820.6",,"25.9, 226.3, 427.3, 120, 80px, #0A2540, 400, normal, Anton","25.9, 299.3, 443, 120, 80px, #0A2540, 400, normal, Anton","108, 550.8, 367.9, 35, 22px, #0A2540, 700, normal, Poppins","108, 595.4, 367.9, 35, 22px, #0A2540, 700, normal, Poppins","108, 640.1, 367.9, 35, 22px, #0A2540, 700, normal, Poppins","108, 684.8, 367.9, 35, 22px, #0A2540, 700, normal, Poppins","210, 920, 350, 70, 39px, #FFFFFF, 800, normal, Poppins"
square-gold,1080x1080,"531.5, 68.3, 528.4, 820.6",,"25.9, 226.3, 427.3, 120, 80px, #2B2D42, 400, normal, Anton","25.9, 299.3, 443, 120, 80px, #2B2D42, 400, normal, Anton","108, 550.8, 367.9, 35, 22px, #2B2D42, 700, normal, Poppins","108, 595.4, 367.9, 35, 22px, #2B2D42, 700, normal, Poppins","108, 640.1, 367.9, 35, 22px, #2B2D42, 700, normal, Poppins","108, 684.8, 367.9, 35, 22px, #2B2D42, 700, normal, Poppins","210, 920, 350, 70, 39px, #FFFFFF, 800, normal, Poppins"
square-green,1080x1080,"531.5, 68.3, 528.4, 820.6",,"25.9, 226.3, 427.3, 120, 80px, #1B4332, 400, normal, Anton","25.9, 299.3, 443, 120, 80px, #1B4332, 400, normal, Anton","108, 550.8, 367.9, 35, 22px, #1B4332, 700, normal, Poppins","108, 595.4, 367.9, 35, 22px, #1B4332, 700, normal, Poppins","108, 640.1, 367.9, 35, 22px, #1B4332, 700, normal, Poppins","108, 684.8, 367.9, 35, 22px, #1B4332, 700, normal, Poppins","210, 920, 350, 70, 39px, #FFFFFF, 800, normal, Poppins"
square-purple,1080x1080,"531.5, 68.3, 528.4, 820.6",,"25.9, 226.3, 427.3, 120, 80px, #A69CAC, 400, normal, Anton","25.9, 299.3, 443, 120, 80px, #A69CAC, 400, normal, Anton","108, 550.8, 367.9, 35, 22px, #A69CAC, 700, normal, Poppins","108, 595.4, 367.9, 35, 22px, #A69CAC, 700, normal, Poppins","108, 640.1, 367.9, 35, 22px, #A69CAC, 700, normal, Poppins","108, 684.8, 367.9, 35, 22px, #A69CAC, 700, normal, Poppins","210, 920, 350, 70, 39px, #FFFFFF, 800, normal, Poppins"
hex-red,1080x1080,"654.4, 298.5, 385.9, 449",,"106.9, 261.7, 600, 160, 100px, #FF5A1F, 400, italic, Anton","144.4, 356.4, 550, 150, 95px, #FFFFFF, 400, italic, Anton","133, 668, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","169.9, 720, 304.5, 50, 28px, #FF5A1F, 400, italic, Anton","206.9, 772, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","243.8, 824, 304.5, 50, 28px, #FF5A1F, 400, italic, Anton","645, 887, 240, 55, 39px, #FFFFFF, 400, bold, Poppins"
hex-blue,1080x1080,"654.4, 298.5, 385.9, 449",,"106.9, 261.7, 600, 160, 100px, #00D2FF, 400, italic, Anton","144.4, 356.4, 550, 150, 95px, #FFFFFF, 400, italic, Anton","133, 668, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","169.9, 720, 304.5, 50, 28px, #00D2FF, 400, italic, Anton","206.9, 772, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","243.8, 824, 304.5, 50, 28px, #00D2FF, 400, italic, Anton","645, 887, 240, 55, 39px, #FFFFFF, 400, bold, Poppins"
hex-gold,1080x1080,"654.4, 298.5, 385.9, 449",,"106.9, 261.7, 600, 160, 100px, #D4AF37, 400, italic, Anton","144.4, 356.4, 550, 150, 95px, #FFFFFF, 400, italic, Anton","133, 668, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","169.9, 720, 304.5, 50, 28px, #D4AF37, 400, italic, Anton","206.9, 772, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","243.8, 824, 304.5, 50, 28px, #D4AF37, 400, italic, Anton","645, 887, 240, 55, 39px, #FFFFFF, 400, bold, Poppins"
hex-green,1080x1080,"654.4, 298.5, 385.9, 449",,"106.9, 261.7, 600, 160, 100px, #5ca904, 400, italic, Anton","144.4, 356.4, 550, 150, 95px, #FFFFFF, 400, italic, Anton","133, 668, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","169.9, 720, 304.5, 50, 28px, #5ca904, 400, italic, Anton","206.9, 772, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","243.8, 824, 304.5, 50, 28px, #5ca904, 400, italic, Anton","645, 887, 240, 55, 39px, #FFFFFF, 400, bold, Poppins"
hex-purple,1080x1080,"654.4, 298.5, 385.9, 449",,"106.9, 261.7, 600, 160, 100px, #474973, 400, italic, Anton","144.4, 356.4, 550, 150, 95px, #FFFFFF, 400, italic, Anton","133, 668, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","169.9, 720, 304.5, 50, 28px, #474973, 400, italic, Anton","206.9, 772, 304.5, 50, 28px, #FFFFFF, 400, italic, Anton","243.8, 824, 304.5, 50, 28px, #474973, 400, italic, Anton","645, 887, 240, 55, 39px, #FFFFFF, 400, bold, Poppins"
